url,tags,author,text
"/author/Bob-Marley,/tag/love/page/1/",love,Bob Marley,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
"/author/Dr-Seuss,/tag/fantasy/page/1/",fantasy,Dr. Seuss,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
"/author/Douglas-Adams,/tag/life/page/1/,/tag/navigation/page/1/","life,navigation",Douglas Adams,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
"/author/Elie-Wiesel,/tag/activism/page/1/,/tag/apathy/page/1/,/tag/hate/page/1/,/tag/indifference/page/1/,/tag/inspirational/page/1/,/tag/love/page/1/,/tag/opposite/page/1/,/tag/philosophy/page/1/","activism,apathy,hate,indifference,inspirational,love,opposite,philosophy",Elie Wiesel,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
"/author/Friedrich-Nietzsche,/tag/friendship/page/1/,/tag/lack-of-friendship/page/1/,/tag/lack-of-love/page/1/,/tag/love/page/1/,/tag/marriage/page/1/,/tag/unhappy-marriage/page/1/","friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage",Friedrich Nietzsche,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
"/author/Mark-Twain,/tag/books/page/1/,/tag/contentment/page/1/,/tag/friends/page/1/,/tag/friendship/page/1/,/tag/life/page/1/","books,contentment,friends,friendship,life",Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
"/author/Allen-Saunders,/tag/fate/page/1/,/tag/life/page/1/,/tag/misattributed-john-lennon/page/1/,/tag/planning/page/1/,/tag/plans/page/1/","fate,life,misattributed-john-lennon,planning,plans",Allen Saunders,“Life is what happens to us while we are making other plans.”
"/author/Pablo-Neruda,/tag/love/page/1/,/tag/poetry/page/1/","love,poetry",Pablo Neruda,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
"/author/Ralph-Waldo-Emerson,/tag/happiness/page/1/",happiness,Ralph Waldo Emerson,“For every minute you are angry you lose sixty seconds of happiness.”
"/author/Mother-Teresa,/tag/attributed-no-source/page/1/",attributed-no-source,Mother Teresa,"“If you judge people, you have no time to love them.”"
"/author/Garrison-Keillor,/tag/humor/page/1/,/tag/religion/page/1/","humor,religion",Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
"/author/Jim-Henson,/tag/humor/page/1/",humor,Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
"/author/Dr-Seuss,/tag/comedy/page/1/,/tag/life/page/1/,/tag/yourself/page/1/","comedy,life,yourself",Dr. Seuss,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
"/author/Albert-Einstein,/tag/children/page/1/,/tag/fairy-tales/page/1/","children,fairy-tales",Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
/author/J-K-Rowling,,J.K. Rowling,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
"/author/Albert-Einstein,/tag/imagination/page/1/",imagination,Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”
"/author/Bob-Marley,/tag/music/page/1/",music,Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”"
"/author/Dr-Seuss,/tag/learning/page/1/,/tag/reading/page/1/,/tag/seuss/page/1/","learning,reading,seuss",Dr. Seuss,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
"/author/J-K-Rowling,/tag/dumbledore/page/1/",dumbledore,J.K. Rowling,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
"/author/Bob-Marley,/tag/friendship/page/1/",friendship,Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
"/author/Mother-Teresa,/tag/misattributed-to-mother-teresa/page/1/,/tag/paraphrased/page/1/","misattributed-to-mother-teresa,paraphrased",Mother Teresa,“Not all of us can do great things. But we can do small things with great love.”
"/author/J-K-Rowling,/tag/death/page/1/,/tag/inspirational/page/1/","death,inspirational",J.K. Rowling,"“To the well-organized mind, death is but the next great adventure.”"
"/author/Charles-M-Schulz,/tag/chocolate/page/1/,/tag/food/page/1/,/tag/humor/page/1/","chocolate,food,humor",Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”
"/author/William-Nicholson,/tag/misattributed-to-c-s-lewis/page/1/,/tag/reading/page/1/","misattributed-to-c-s-lewis,reading",William Nicholson,“We read to know we're not alone.”
"/author/Albert-Einstein,/tag/knowledge/page/1/,/tag/learning/page/1/,/tag/understanding/page/1/,/tag/wisdom/page/1/","knowledge,learning,understanding,wisdom",Albert Einstein,“Any fool can know. The point is to understand.”
"/author/Jorge-Luis-Borges,/tag/books/page/1/,/tag/library/page/1/","books,library",Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”
"/author/George-Eliot,/tag/inspirational/page/1/",inspirational,George Eliot,“It is never too late to be what you might have been.”
"/author/George-R-R-Martin,/tag/read/page/1/,/tag/readers/page/1/,/tag/reading/page/1/,/tag/reading-books/page/1/","read,readers,reading,reading-books",George R.R. Martin,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
"/author/C-S-Lewis,/tag/books/page/1/,/tag/inspirational/page/1/,/tag/reading/page/1/,/tag/tea/page/1/","books,inspirational,reading,tea",C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”
/author/Marilyn-Monroe,,Marilyn Monroe,“You believe lies so you eventually learn to trust no one but yourself.”
"/author/Marilyn-Monroe,/tag/girls/page/1/,/tag/love/page/1/","girls,love",Marilyn Monroe,"“If you can make a woman laugh, you can make her do anything.”"
"/author/Albert-Einstein,/tag/life/page/1/,/tag/simile/page/1/","life,simile",Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
"/author/Marilyn-Monroe,/tag/love/page/1/",love,Marilyn Monroe,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
"/author/Marilyn-Monroe,/tag/attributed-no-source/page/1/",attributed-no-source,Marilyn Monroe,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
"/author/Martin-Luther-King-Jr,/tag/hope/page/1/,/tag/inspirational/page/1/","hope,inspirational",Martin Luther King Jr.,“Only in the darkness can you see the stars.”
"/author/J-K-Rowling,/tag/dumbledore/page/1/",dumbledore,J.K. Rowling,"“It matters not what someone is born, but what they grow to be.”"
"/author/James-Baldwin,/tag/love/page/1/",love,James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”"
"/author/Jane-Austen,/tag/friendship/page/1/,/tag/love/page/1/","friendship,love",Jane Austen,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
"/author/Eleanor-Roosevelt,/tag/attributed/page/1/,/tag/fear/page/1/,/tag/inspiration/page/1/","attributed,fear,inspiration",Eleanor Roosevelt,“Do one thing every day that scares you.”
"/author/Marilyn-Monroe,/tag/attributed-no-source/page/1/",attributed-no-source,Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”"
"/author/Albert-Einstein,/tag/music/page/1/",music,Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”"
"/author/Haruki-Murakami,/tag/books/page/1/,/tag/thought/page/1/","books,thought",Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
"/author/Alexandre-Dumas-fils,/tag/misattributed-to-einstein/page/1/",misattributed-to-einstein,Alexandre Dumas fils,“The difference between genius and stupidity is: genius has its limits.”
"/author/Stephenie-Meyer,/tag/drug/page/1/,/tag/romance/page/1/,/tag/simile/page/1/","drug,romance,simile",Stephenie Meyer,"“He's like a drug for you, Bella.”"
"/author/Ernest-Hemingway,/tag/books/page/1/,/tag/friends/page/1/,/tag/novelist-quotes/page/1/","books,friends,novelist-quotes",Ernest Hemingway,“There is no friend as loyal as a book.”
"/author/Helen-Keller,/tag/inspirational/page/1/",inspirational,Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
"/author/George-Bernard-Shaw,/tag/inspirational/page/1/,/tag/life/page/1/,/tag/yourself/page/1/","inspirational,life,yourself",George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”
"/author/Charles-Bukowski,/tag/alcohol/page/1/",alcohol,Charles Bukowski,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”"
"/author/Suzanne-Collins,/tag/the-hunger-games/page/1/",the-hunger-games,Suzanne Collins,“You don’t forget the face of the person who was your last hope.”
"/author/Suzanne-Collins,/tag/humor/page/1/",humor,Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”"
"/author/C-S-Lewis,/tag/love/page/1/",love,C.S. Lewis,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”"
"/author/J-R-R-Tolkien,/tag/bilbo/page/1/,/tag/journey/page/1/,/tag/lost/page/1/,/tag/quest/page/1/,/tag/travel/page/1/,/tag/wander/page/1/","bilbo,journey,lost,quest,travel,wander",J.R.R. Tolkien,“Not all those who wander are lost.”
"/author/J-K-Rowling,/tag/live-death-love/page/1/",live-death-love,J.K. Rowling,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”"
"/author/Ernest-Hemingway,/tag/good/page/1/,/tag/writing/page/1/","good,writing",Ernest Hemingway,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”
"/author/Ralph-Waldo-Emerson,/tag/life/page/1/,/tag/regrets/page/1/","life,regrets",Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”
"/author/Mark-Twain,/tag/education/page/1/",education,Mark Twain,“I have never let my schooling interfere with my education.”
"/author/Dr-Seuss,/tag/troubles/page/1/",troubles,Dr. Seuss,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”
"/author/Alfred-Tennyson,/tag/friendship/page/1/,/tag/love/page/1/","friendship,love",Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”
"/author/Charles-Bukowski,/tag/humor/page/1/",humor,Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”
"/author/Terry-Pratchett,/tag/humor/page/1/,/tag/open-mind/page/1/,/tag/thinking/page/1/","humor,open-mind,thinking",Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
"/author/Dr-Seuss,/tag/humor/page/1/,/tag/philosophy/page/1/","humor,philosophy",Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”"
"/author/J-D-Salinger,/tag/authors/page/1/,/tag/books/page/1/,/tag/literature/page/1/,/tag/reading/page/1/,/tag/writing/page/1/","authors,books,literature,reading,writing",J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”"
"/author/George-Carlin,/tag/humor/page/1/,/tag/insanity/page/1/,/tag/lies/page/1/,/tag/lying/page/1/,/tag/self-indulgence/page/1/,/tag/truth/page/1/","humor,insanity,lies,lying,self-indulgence,truth",George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”
"/author/John-Lennon,/tag/beatles/page/1/,/tag/connection/page/1/,/tag/dreamers/page/1/,/tag/dreaming/page/1/,/tag/dreams/page/1/,/tag/hope/page/1/,/tag/inspirational/page/1/,/tag/peace/page/1/","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace",John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”"
"/author/W-C-Fields,/tag/humor/page/1/,/tag/sinister/page/1/","humor,sinister",W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”
/author/Ayn-Rand,,Ayn Rand,“The question isn't who is going to let me; it's who is going to stop me.”
"/author/Mark-Twain,/tag/books/page/1/,/tag/classic/page/1/,/tag/reading/page/1/","books,classic,reading",Mark Twain,“′Classic′ - a book which people praise and don't read.”
"/author/Albert-Einstein,/tag/mistakes/page/1/",mistakes,Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”
"/author/Jane-Austen,/tag/humor/page/1/,/tag/love/page/1/,/tag/romantic/page/1/,/tag/women/page/1/","humor,love,romantic,women",Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
"/author/J-K-Rowling,/tag/integrity/page/1/",integrity,J.K. Rowling,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”"
"/author/Jane-Austen,/tag/books/page/1/,/tag/library/page/1/,/tag/reading/page/1/","books,library,reading",Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”"
"/author/Jane-Austen,/tag/elizabeth-bennet/page/1/,/tag/jane-austen/page/1/","elizabeth-bennet,jane-austen",Jane Austen,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”"
"/author/C-S-Lewis,/tag/age/page/1/,/tag/fairytales/page/1/,/tag/growing-up/page/1/","age,fairytales,growing-up",C.S. Lewis,“Some day you will be old enough to start reading fairy tales again.”
"/author/C-S-Lewis,/tag/god/page/1/",god,C.S. Lewis,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”
"/author/Mark-Twain,/tag/death/page/1/,/tag/life/page/1/","death,life",Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”
"/author/Mark-Twain,/tag/misattributed-mark-twain/page/1/,/tag/truth/page/1/","misattributed-mark-twain,truth",Mark Twain,“A lie can travel half way around the world while the truth is putting on its shoes.”
"/author/C-S-Lewis,/tag/christianity/page/1/,/tag/faith/page/1/,/tag/religion/page/1/,/tag/sun/page/1/","christianity,faith,religion,sun",C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”"
